nome,valor_bruto,valor_liquido
Tesouro Selic 2023,"R$ 3.693,80","R$ 3.656,69"
Tesouro IPCA+ 2024,"R$ 9.432,83","R$ 9.105,04"
Tesouro Selic 2025,"R$ 11.788,44","R$ 11.733,22"
BANCO AGIBANK,"R$ 2.204,27","R$ 2.168,52"
BANCO AGIBANK,"R$ 2.158,66","R$ 2.130,89"
CMDT23 - CEMIG DISTRIBUICAO S.A,"R$ 945,40","R$ 911,98"
CMDT23 - CEMIG DISTRIBUICAO S.A,"R$ 940,75","R$ 903,27"
BANCO MAXIMA,"R$ 2.073,59","R$ 2.057,03"
BANCO MAXIMA,"R$ 1.081,02","R$ 1.066,84"
BANCO MAXIMA,"R$ 1.035,69","R$ 1.027,66"
DEVANT SOLIDUS CASH FIRF CP,"R$ 1.216,46","R$ 1.212,70"
