nome,valor_bruto,valor_liquido
Tesouro Selic 2023,"R$ 3.778,49","R$ 3.729,44"
Tesouro IPCA+ 2024,"R$ 9.949,70","R$ 9.540,23"
Tesouro Selic 2025,"R$ 14.785,73","R$ 14.679,99"
BANCO AGIBANK,"R$ 2.266,20","R$ 2.219,62"
BANCO AGIBANK,"R$ 2.219,32","R$ 2.180,94"
CMDT23 - CEMIG DISTRIBUICAO S.A,"R$ 1.000,59","R$ 954,14"
CMDT23 - CEMIG DISTRIBUICAO S.A,"R$ 1.003,23","R$ 961,14"
BANCO MAXIMA,"R$ 2.131,61","R$ 2.105,29"
BANCO MAXIMA,"R$ 1.113,04","R$ 1.093,26"
BANCO MAXIMA,"R$ 1.066,37","R$ 1.053,10"
DEVANT SOLIDUS CASH FIRF CP,"R$ 1.231,26","R$ 1.228,61"
