" ﻿""Cnpj""",Código,Nome,Setor
28.195.667/0001-06,ABCB,Banco ABC,Bancos
07.526.557/0001-00,ABEV,Ambev,Bebidas
10.345.009/0001-98,ADHM,Advanced Digital Health,Medicina Diagnóstica
10.338.320/0001-00,AFLT,Afluente T,Energia
07.628.528/0001-59,AGRO,BrasilAgro,Agricultura
06.082.980/0001-03,ALSC,Aliansce,Shoppings
61.189.288/0001-89,AMAR,Lojas Marisa,Vestuário
09.288.252/0001-32,ANIM,Anima,Educação
16.590.234/0001-76,ARZZ,Arezzo,Calçados
09.305.994/0001-29,AZUL,Azul,Aéreo
09.346.601/0001-25,B3SA,B3,Bolsa de Valores
45.987.245/0001-92,BAHI,Bahema,Educação
04.902.979/0001-44,BAZA,Banco da Amazônia,Bancos
00.000.000/0001-91,BBAS,Banco do Brasil,Bancos
08.613.550/0001-98,BBRK,Brasil Brokers,Exploração de Imóveis
17.344.597/0001-94,BBSE,BB Seguridade,Seguros
67.620.377/0001-14,BEEF,Minerva,Carnes e Derivados
00.416.968/0001-01,BIDI,Banco Inter,Bancos
04.752.991/0001-10,BIOM,Biomm,Medicamentos
13.574.594/0001-96,BKBR,Burger King,Restaurantes
56.992.423/0001-90,BMKS,Monark,Bicicletas
07.237.373/0001-20,BNBR,Banco do Nordeste,Bancos
59.285.411/0001-13,BPAN,Banco Pan,Bancos
11.395.624/0001-71,BPHA,BR Pharma,Produtos Farmacêuticos
34.274.233/0001-02,BRDT,BR Distribuidora,"Petróleo, Gás e Biocombustíveis"
01.838.723/0001-27,BRFS,BRF,Carnes e Derivados
11.721.921/0001-60,BRIN,Brasil Insurance,Seguros
06.977.745/0001-91,BRML,BR Malls,Shoppings
06.977.751/0001-49,BRPR,BRProperties,Exploração de Imóveis
15.527.906/0001-36,BSEV,Biosev,Açúcar e Álcool
00.776.574/0001-56,BTOW,B2W Digital,Comércio Varejista
64.904.295/0001-03,CAML,Camil,Alimentos
01.896.779/0001-38,CARD,CSU Cardsystem,Software
33.050.071/0001-58,CBEE,Ampla Energia,Energia
02.846.056/0001-97,CCRO,CCR,Exploração de Rodovias
07.950.674/0001-04,CCXC,CCX Carvão,Mineração
33.938.119/0001-69,CEGR,Ceg,Gás
01.027.058/0001-91,CIEL,Cielo,Meios de Pagamento
13.217.485/0001-11,CNTO,Centauro,Vestuário
02.429.144/0001-93,CPFE,CPFL Energia,Energia
08.439.659/0001-50,CPRE,CPFL Renováveis,Energia
75.315.333/0001-09,CRFB,Carrefour,Comércio Varejista
07.820.907/0001-46,CRDE,CR2,Construção Civil
50.746.577/0001-15,CSAN,Cosan,"Petróleo, Gás e Biocombustíveis"
17.281.106/0001-03,CSMG,Copasa,Saneamento
33.042.730/0001-04,CSNA,CSN,Siderurgia
10.760.260/0001-19,CVCB,CVC,Viagens e Turismo
73.178.600/0001-18,CYRE,Cyrela Realty,Construção Civil
61.486.650/0001-83,DASA,Dasa,Medicina Diagnóstica
16.614.075/0001-00,DIRR,Direcional,Construção Civil
08.926.302/0001-05,DMMO,Dommo,"Petróleo, Gás e Biocombustíveis"
97.837.181/0001-47,DTEX,Duratex,Produtos para Construção Civil
04.149.454/0001-80,ECOR,Ecorodovias,Exploração de Rodovias
02.474.103/0001-19,EGIE,Engie,Energia
61.695.227/0001-93,ELPL,Eletropaulo,Energia
07.689.002/0001-89,EMBR,Embraer,Produção de Aerovanes
11.669.021/0001-10,ENAT,Enauta,"Petróleo, Gás e Biocombustíveis"
03.983.431/0001-03,ENBR,Energias do Brasil,Energia
04.423.567/0001-21,ENEV,Eneva,Energia
03.220.438/0001-73,EQTL,Equatorial,Energia
61.092.037/0001-81,ETER,Eternit,Produtos para Construção Civil
43.470.988/0001-65,EVEN,Even,Construção Civil
08.312.229/0001-73,EZTC,Eztec,Construção Civil
22.266.175/0001-88,FHER,Heringer,Fertilizantes
88.610.126/0001-29,FRAS,Fras-le,Material Rodoviário
04.821.041/0001-08,FRIO,Metalfrio,Máquinas e Equipamentos
86.550.951/0001-50,FRTA,Pomi Frutas,Agricultura
01.545.826/0001-07,GFSA,Gafisa,Construção Civil
19.853.511/0001-84,GNDI,NotreDame Intermédica,Seguros
08.560.444/0001-93,GPAR,Celg,Energia
89.850.341/0001-60,GRND,Grendene,Calçados
08.764.621/0001-53,GSHP,General Shopping,Shoppings
08.402.943/0001-52,GUAR,Guararapes,Vestuário
05.197.443/0001-38,HAPV,Hapvida,Seguros
49.263.189/0001-02,HBOR,Helbor,Construção Civil
78.876.950/0001-71,HGTX,Cia Hering,Vestuário
02.932.074/0001-91,HYPE,Hypera Pharma,Medicamentos
51.218.147/0001-93,IGTA,Iguatemi,Shoppings
43.185.362/0001-07,IGBR,IGB Eletrônica,Eletrodomésticos
02.365.069/0001-44,IDNT,Ideiasnet,Holding
33.376.989/0001-91,IRBR,IRB Brasil,Seguros
02.916.265/0001-60,JBSS,JBS,Carnes e Derivados
54.526.082/0001-31,ITEC,Itautec,Tecnologia Bancária
33.035.536/0001-00,JFEN,João Fortes,Construção Civil
08.294.224/0001-65,JHSF,JHSF,Shoppings e Hotelaria
60.543.816/0001-93,JPSA,Jereissati,Exploração de Imóveis
52.548.435/0001-79,JSLG,JSL,Logísitica e Rodoviário
91.983.056/0001-69,KEPL,Kepler,Máquinas e Equipamentos
60.476.884/0001-87,LEVE,Mahle Metal Leve,Peças para Motores
03.378.521/0001-75,LIGT,Light,Energia
06.948.969/0001-75,LINX,Linx,Software
01.104.937/0001-70,LIPR,Eletropar,Energia
04.032.433/0001-80,LIQO,Liq,Consultoria
49.669.856/0001-43,LLIS,Le Lis Blanc,Vestuário
09.041.168/0001-10,LOGG,Log CP,Construção Civil
42.278.291/0001-24,LOGN,Log-in,Hidroviário
08.078.847/0001-09,LPSB,Lopes Brasil,Exploração de Imóveis
92.754.738/0001-62,LREN,Lojas Renner,Vestuário
89.463.822/0001-12,LUPA,Lupatech,Equipamentos e Petróleo
07.206.816/0001-15,MDIA,M.Dias Branco,Alimentos
17.314.329/0001-20,MEAL,International Meal,Restaurantes
47.960.950/0001-21,MGLU,Magazine Luiza,Comércio Varejista
27.093.558/0001-15,MILS,Mills,Construção e Engenharia
02.762.115/0001-49,MMXM,MMX Miner,Mineração
88.610.191/0001-54,MNDL,Mundial,Utensílios Pessoais e Domésticos
90.076.886/0001-40,MNPR,Minupar,Carnes e Derivados
33.102.476/0001-92,MOAR,Monteiro Aranha,Holding
21.314.559/0001-66,MOVI,Movida,Aluguel e Venda de Carros
11.094.546/0001-75,MPLU,Multiplus,Programas de Fidelidade
03.853.896/0001-40,MRFG,Marfrig,Carnes e Derivados
08.343.492/0001-20,MRVE,MRV Engenharia,Construção Civil
07.816.890/0001-53,MULT,Multiplan,Shoppings
61.156.113/0001-75,MYPK,Iochpe-Maxion,Automotivo
71.673.990/0001-77,NATU,Natura,Cosméticos
60.884.319/0001-59,NORD,Nordon,Máquinas e Equipamentos
58.119.199/0001-51,ODPV,Odontoprev,Seguros
20.258.278/0001-70,OFSA,Ouro Fino,Medicamentos
09.149.503/0001-06,OMGE,Omega Geração,Energia
19.378.769/0001-76,PARD,Hermes Pardini,Medicina Diagnóstica
02.950.811/0001-89,PDGR,PDG Realty,Construção Civil
45.453.214/0001-51,PFRM,Profarma,Produtos Farmacêuticos
51.928.174/0001-50,PLAS,Plascar,Automotivo
60.398.369/0004-79,PMAM,Paranapanema,Siderurgia
81.243.735/0001-48,POSI,Positivo,Hardware
10.629.105/0001-68,PRIO,Petrorio,"Petróleo, Gás e Biocombustíveis"
02.149.205/0001-69,PSSA,Porto Seguro,Seguros
83.475.913/0001-91,PTBL,Portobello,Cerâmicos
11.992.680/0001-93,QUAL,Qualicorp,Seguros
61.585.865/0001-51,RADL,RaiaDrogasil,Produtos Farmacêuticos
02.387.241/0001-60,RAIL,Rumo Log,Logística e Ferroviário
67.010.660/0001-24,RDNI,RNI,Construção Civil
61.584.140/0001-49,REDE,Rede Energia,"Petróleo, Gás e Biocombustíveis"
16.670.085/0001-55,RENT,Localiza,Aluguel e Venda de Carros
17.346.997/0001-39,RLOG,Cosan Logística,Logística e Ferroviário
56.720.428/0001-63,ROMI,Indústrias Romi,Máquinas e Equipamentos
33.412.081/0001-96,RPMG,PET Manguinhos,"Petróleo, Gás e Biocombustíveis"
61.065.751/0001-80,RSID,Rossi,Construção Civil
43.776.517/0001-80,SBSP,Sabesp,Saneamento
29.780.061/0001-09,SCAR,São Carlos,Exploração de Imóveis
02.541.982/0001-54,SEDU,Somos Educação,Educação
04.986.320/0001-13,SEER,SER Educacional,Educação
07.718.269/0001-57,SGPS,Springs Global,Têxtil
02.860.694/0001-62,SHOW,Time For Fun,Eventos e Shows
89.096.457/0001-55,SLCE,SLC Agrícola,Agricultura
05.730.375/0001-20,SMLS,Smiles,Programas de Fidelidade
51.466.860/0001-56,SMTO,São Martinho,Açúcar e Álcool
04.065.791/0001-99,SQIA,Sinqia,Software
05.878.397/0001-32,SSBR,Sierra Brasil,Shoppings
16.404.287/0001-55,SUZB,Suzano Papel,Papel e Celulose
08.065.557/0001-12,TCSA,Tecnisa,Construção Civil
09.295.063/0001-97,TECN,Technos,Relógios
71.476.527/0001-35,TEND,Tenda,Construção Civil
05.799.312/0001-20,TESA,Terra Santa,Agricultura
02.351.144/0001-18,TGMA,Tegma,Automotivo e Logística
02.558.115/0001-21,TIMP,TIM,Telecomunicações
53.113.791/0001-22,TOTS,Totvs,Software
03.014.553/0001-91,TPIS,Triunfo,Exploração de Rodovias
08.811.643/0001-27,TRIS,Trisul,Construção Civil
05.341.549/0001-63,TRPN,Tarpon,Gestão de Recursos
84.683.374/0001-49,TUPY,Tupy,Material Rodoviário
90.441.460/0001-48,UCAS,Unicasa,Móveis
33.256.439/0001-39,UGPA,Ultrapar,"Petróleo, Gás e Biocombustíveis"
33.592.510/0001-54,VALE,Vale,Mineração
67.571.414/0001-41,VIVR,Viver,Construção Civil
33.113.309/0001-47,VLID,Valid,Documentos de Segurança
50.926.955/0001-42,VULC,Vulcabras,Calçados
33.041.260/0652-90,VVAR,Via Varejo,Comércio Varejista
84.429.695/0001-11,WEGE,Weg,Motores e Compressores
62.002.886/0001-60,AHEB,São Paulo Turismo,Eventos e Shows
42.278.473/0001-03,WIZS,WIZ Soluções,Seguros
61.079.117/0001-05,ALPA,Alpargatas,Calçados
08.364.948/0001-38,ALUP,Alupar,Energia
