Ano,CAPEX,Caixa,D. L. / EBITDA,Dívida,EBITDA,FCF,FCL CAPEX,FCO,Lucro Líq.,Mrg. Líq.,PDD,PDD/Lucro Líquido,Pat. Líq.,Payout,Prov.,ROE,Receita Líq.,Res. Fin.,empresa,Índice de Basiléia
12/2015,s/n,s/n,s/n,s/n,s/n,s/n,s/n,s/n,389,17%,219,56%,2.634,35%,136,15%,s/n,s/n,ABCB,16%
12/2016,s/n,s/n,s/n,s/n,s/n,s/n,s/n,s/n,392,19%,258,66%,2.994,48%,189,13%,s/n,s/n,ABCB,18%
12/2017,s/n,s/n,s/n,s/n,s/n,s/n,s/n,s/n,427,20%,236,55%,3.351,48%,206,13%,s/n,s/n,ABCB,16%
12/2018,s/n,s/n,s/n,s/n,s/n,s/n,s/n,s/n,416,17%,126,30%,3.739,53%,220,11%,s/n,s/n,ABCB,17%
09/19 TTM,s/n,s/n,s/n,s/n,s/n,s/n,s/n,s/n,463,24%,135,29%,3.956,50%,233,12%,s/n,s/n,ABCB,0%
12/2015,-5.261,13.835,"0,0",3.599,21.856,-15.328,18.320,23.581,12.879,28%,s/n,s/n,50.334,89%,11.490,26%,46.720,-2.268,ABEV,s/n
12/2016,-4.133,8.160,"0,0",5.396,20.612,-11.645,8.212,12.345,13.083,29%,s/n,s/n,46.651,79%,10.331,28%,45.603,-3.702,ABEV,s/n
12/2017,-3.204,10.366,"0,0",2.553,20.036,-12.864,14.670,17.874,7.851,16%,s/n,s/n,47.983,112%,8.820,16%,47.899,-3.494,ABEV,s/n
12/2018,-3.571,11.477,"0,0",2.423,21.014,-13.222,14.340,17.911,11.377,23%,s/n,s/n,57.547,77%,8.814,20%,50.231,-3.823,ABEV,s/n
09/19 TTM,-4.418,15.031,"0,0",4.090,21.477,-9.967,13.114,17.533,11.443,22%,s/n,s/n,67.021,47%,5.356,17%,52.761,-3.109,ABEV,s/n
12/2015,0,0,P,0,-3,0,0,0,-15,P,s/n,s/n,-36,0%,0,P,0,-9,ADHM,s/n
12/2016,0,0,P,0,-7,33,-33,-33,-2,P,s/n,s/n,-4,0%,0,P,0,2,ADHM,s/n
12/2017,0,0,P,0,-5,0,0,0,-5,P,s/n,s/n,-9,0%,0,P,0,-1,ADHM,s/n
12/2018,0,0,P,0,-3,0,0,0,-5,P,s/n,s/n,-15,0%,0,P,0,-2,ADHM,s/n
09/19 TTM,0,0,P,0,-4,0,0,0,-6,P,s/n,s/n,-20,0%,0,P,0,-2,ADHM,s/n
12/2015,-7,42,"0,0",4,11,-8,16,23,13,46%,s/n,s/n,78,62%,8,16%,27,4,AFLT,s/n
12/2016,-5,36,"0,0",3,16,-20,13,18,14,46%,s/n,s/n,76,136%,19,19%,31,5,AFLT,s/n
12/2017,-1,19,"0,0",3,13,-45,20,20,13,53%,s/n,s/n,45,110%,14,28%,24,2,AFLT,s/n
12/2018,0,31,"0,0",2,23,-12,24,24,23,67%,s/n,s/n,196,50%,11,12%,34,1,AFLT,s/n
09/19 TTM,0,52,"0,0",1,29,-7,28,28,30,76%,s/n,s/n,217,38%,11,14%,39,2,AFLT,s/n
06/2016,-23,168,P,100,-7,-165,-30,-6,8,6%,s/n,s/n,687,1010%,81,1%,135,38,AGRO,s/n
06/2017,-145,51,"4,1",112,15,-62,-80,65,27,15%,s/n,s/n,667,117%,32,4%,184,33,AGRO,s/n
